state,state_string,direct_predecessor_count,is_one_step_output
0,0000,10,True
1,0001,0,False
2,0002,0,False
3,0003,0,False
4,0004,0,False
5,0005,0,False
6,0006,0,False
7,0007,0,False
8,0008,0,False
9,0009,0,False
10,0010,0,False
11,0011,0,False
12,0012,0,False
13,0013,0,False
14,0014,0,False
15,0015,0,False
16,0016,0,False
17,0017,0,False
18,0018,0,False
19,0019,0,False
20,0020,0,False
21,0021,0,False
22,0022,0,False
23,0023,0,False
24,0024,0,False
25,0025,0,False
26,0026,0,False
27,0027,0,False
28,0028,0,False
29,0029,0,False
30,0030,0,False
31,0031,0,False
32,0032,0,False
33,0033,0,False
34,0034,0,False
35,0035,0,False
36,0036,0,False
37,0037,0,False
38,0038,0,False
39,0039,0,False
40,0040,0,False
41,0041,0,False
42,0042,0,False
43,0043,0,False
44,0044,0,False
45,0045,0,False
46,0046,0,False
47,0047,0,False
48,0048,0,False
49,0049,0,False
50,0050,0,False
51,0051,0,False
52,0052,0,False
53,0053,0,False
54,0054,0,False
55,0055,0,False
56,0056,0,False
57,0057,0,False
58,0058,0,False
59,0059,0,False
60,0060,0,False
61,0061,0,False
62,0062,0,False
63,0063,0,False
64,0064,0,False
65,0065,0,False
66,0066,0,False
67,0067,0,False
68,0068,0,False
69,0069,0,False
70,0070,0,False
71,0071,0,False
72,0072,0,False
73,0073,0,False
74,0074,0,False
75,0075,0,False
76,0076,0,False
77,0077,0,False
78,0078,0,False
79,0079,0,False
80,0080,0,False
81,0081,0,False
82,0082,0,False
83,0083,0,False
84,0084,0,False
85,0085,0,False
86,0086,0,False
87,0087,0,False
88,0088,0,False
89,0089,0,False
90,0090,0,False
91,0091,0,False
92,0092,0,False
93,0093,0,False
94,0094,0,False
95,0095,0,False
96,0096,0,False
97,0097,0,False
98,0098,0,False
99,0099,0,False
100,0100,0,False
101,0101,0,False
102,0102,0,False
103,0103,0,False
104,0104,0,False
105,0105,0,False
106,0106,0,False
107,0107,0,False
108,0108,0,False
109,0109,0,False
110,0110,0,False
111,0111,0,False
112,0112,0,False
113,0113,0,False
114,0114,0,False
115,0115,0,False
116,0116,0,False
117,0117,0,False
118,0118,0,False
119,0119,0,False
120,0120,0,False
121,0121,0,False
122,0122,0,False
123,0123,0,False
124,0124,0,False
125,0125,0,False
126,0126,0,False
127,0127,0,False
128,0128,0,False
129,0129,0,False
130,0130,0,False
131,0131,0,False
132,0132,0,False
133,0133,0,False
134,0134,0,False
135,0135,0,False
136,0136,0,False
137,0137,0,False
138,0138,0,False
139,0139,0,False
140,0140,0,False
141,0141,0,False
142,0142,0,False
143,0143,0,False
144,0144,0,False
145,0145,0,False
146,0146,0,False
147,0147,0,False
148,0148,0,False
149,0149,0,False
150,0150,0,False
151,0151,0,False
152,0152,0,False
153,0153,0,False
154,0154,0,False
155,0155,0,False
156,0156,0,False
157,0157,0,False
158,0158,0,False
159,0159,0,False
160,0160,0,False
161,0161,0,False
162,0162,0,False
163,0163,0,False
164,0164,0,False
165,0165,0,False
166,0166,0,False
167,0167,0,False
168,0168,0,False
169,0169,0,False
170,0170,0,False
171,0171,0,False
172,0172,0,False
173,0173,0,False
174,0174,0,False
175,0175,0,False
176,0176,0,False
177,0177,0,False
178,0178,0,False
179,0179,0,False
180,0180,0,False
181,0181,0,False
182,0182,0,False
183,0183,0,False
184,0184,0,False
185,0185,0,False
186,0186,0,False
187,0187,0,False
188,0188,0,False
189,0189,0,False
190,0190,0,False
191,0191,0,False
192,0192,0,False
193,0193,0,False
194,0194,0,False
195,0195,0,False
196,0196,0,False
197,0197,0,False
198,0198,0,False
199,0199,0,False
200,0200,0,False
201,0201,0,False
202,0202,0,False
203,0203,0,False
204,0204,0,False
205,0205,0,False
206,0206,0,False
207,0207,0,False
208,0208,0,False
209,0209,0,False
210,0210,0,False
211,0211,0,False
212,0212,0,False
213,0213,0,False
